Project,Year,Date,Site,Treatment,PlotID,Individual_nr,ID,Functional_group,Taxon,Trait,Value,Elevation_m,Latitude_N,Longitude_E
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,vascular,dryas octopetala,CN_ratio,40.85454545454545,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,vascular,dryas octopetala,dN15_permil,-7.86859798431397,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,vascular,dryas octopetala,dC13_permil,-31.93561378479,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,vascular,dryas octopetala,P_percent,0.03412436218517264,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-9,3,AEL6497,vascular,dryas octopetala,NP_ratio,32.23503472477972,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,vascular,dryas octopetala,Plant_Height_cm,2,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,vascular,dryas octopetala,Wet_Mass_g,0.012950000000000001,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,vascular,dryas octopetala,Dry_Mass_g,0.0055000000000000005,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,vascular,dryas octopetala,Leaf_Thickness_mm,0.6456666666666666,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,vascular,dryas octopetala,Leaf_Area_cm2,0.32316666666666666,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,vascular,dryas octopetala,SLA_cm2_g,58.75757575757575,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,vascular,dryas octopetala,LDMC,0.4247104247104247,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,vascular,dryas octopetala,C_percent,47.3,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,vascular,dryas octopetala,N_percent,1.7,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,vascular,dryas octopetala,CN_ratio,27.823529411764707,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,vascular,dryas octopetala,dN15_permil,-7.34744119644165,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,vascular,dryas octopetala,dC13_permil,-31.0894128417969,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,vascular,dryas octopetala,P_percent,0.040671704339353604,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEM4167,vascular,dryas octopetala,NP_ratio,41.798100856941325,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,vascular,dryas octopetala,Plant_Height_cm,2,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,vascular,dryas octopetala,Wet_Mass_g,0.010516666666666667,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,vascular,dryas octopetala,Dry_Mass_g,0.004166666666666667,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,vascular,dryas octopetala,Leaf_Thickness_mm,0.40800000000000003,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,vascular,dryas octopetala,Leaf_Area_cm2,0.24683333333333335,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,vascular,dryas octopetala,SLA_cm2_g,59.24,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,vascular,dryas octopetala,LDMC,0.3961965134706814,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,vascular,dryas octopetala,C_percent,48.67,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,vascular,dryas octopetala,N_percent,1.3,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,vascular,dryas octopetala,CN_ratio,37.43846153846154,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,vascular,dryas octopetala,dN15_permil,-8.03537559509277,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,vascular,dryas octopetala,dC13_permil,-31.5334970092773,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,vascular,dryas octopetala,P_percent,0.03595471344809913,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEN3932,vascular,dryas octopetala,NP_ratio,36.15659465278617,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEO4792,vascular,salix polaris,Plant_Height_cm,2,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEO4792,vascular,salix polaris,Leaf_Thickness_mm,0.20666666666666667,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEO4792,vascular,salix polaris,C_percent,48.29342263206853,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEO4792,vascular,salix polaris,N_percent,2.1331924887798395,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEO4792,vascular,salix polaris,CN_ratio,22.63903650799548,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEO4792,vascular,salix polaris,dN15_permil,-2.49622020721436,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEO4792,vascular,salix polaris,dC13_permil,-28.6388639831543,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEO4792,vascular,salix polaris,P_percent,0.34931847925170434,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,3,AEO4792,vascular,salix polaris,NP_ratio,6.106726713540826,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,vascular,salix polaris,Plant_Height_cm,2,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,vascular,salix polaris,Wet_Mass_g,0.018125,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,vascular,salix polaris,Dry_Mass_g,0.006,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,vascular,salix polaris,Leaf_Thickness_mm,0.247,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,vascular,salix polaris,Leaf_Area_cm2,0.68675,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,vascular,salix polaris,SLA_cm2_g,114.45833333333333,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,vascular,salix polaris,LDMC,0.33103448275862074,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,vascular,salix polaris,C_percent,46.62338857350636,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,vascular,salix polaris,N_percent,1.6010985972772007,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,vascular,salix polaris,CN_ratio,29.119623646409565,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,vascular,salix polaris,dN15_permil,-3.82309970855713,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,vascular,salix polaris,dC13_permil,-28.089509429931603,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,vascular,salix polaris,P_percent,0.4171276875825145,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,2,AEP6711,vascular,salix polaris,NP_ratio,3.838389646480798,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,vascular,salix polaris,Plant_Height_cm,1,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,vascular,salix polaris,Wet_Mass_g,0.01076,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,vascular,salix polaris,Dry_Mass_g,0.0028,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,vascular,salix polaris,Leaf_Thickness_mm,0.39599999999999996,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,vascular,salix polaris,Leaf_Area_cm2,0.44580000000000003,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,vascular,salix polaris,SLA_cm2_g,159.21428571428572,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,vascular,salix polaris,LDMC,0.26022304832713755,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,vascular,salix polaris,C_percent,46.787281851650725,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,vascular,salix polaris,N_percent,1.9058261321438992,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,vascular,salix polaris,CN_ratio,24.549606631229704,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,vascular,salix polaris,dN15_permil,-6.325104331970221,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,vascular,salix polaris,dC13_permil,-27.8577532196045,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,vascular,salix polaris,P_percent,0.2729243549359048,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-8,1,AEZ1543,vascular,salix polaris,NP_ratio,6.982983004911654,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,vascular,pedicularis hirsuta,Plant_Height_cm,4,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,vascular,pedicularis hirsuta,Wet_Mass_g,0.013200000000000002,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,vascular,pedicularis hirsuta,Dry_Mass_g,0.0026666666666666666,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,vascular,pedicularis hirsuta,Leaf_Thickness_mm,0.20433333333333334,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,vascular,pedicularis hirsuta,Leaf_Area_cm2,0.48300000000000004,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,vascular,pedicularis hirsuta,SLA_cm2_g,181.12500000000003,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,vascular,pedicularis hirsuta,LDMC,0.202020202020202,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,vascular,pedicularis hirsuta,C_percent,34.28567110736937,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,vascular,pedicularis hirsuta,N_percent,1.5123492216740135,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,vascular,pedicularis hirsuta,CN_ratio,22.670472279820853,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,vascular,pedicularis hirsuta,dN15_permil,-4.156884479522711,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,2,AFC3767,vascular,pedicularis hirsuta,dC13_permil,-30.9406660461426,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,vascular,salix polaris,Plant_Height_cm,1,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,vascular,salix polaris,Wet_Mass_g,0.009479999999999999,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,vascular,salix polaris,Dry_Mass_g,0.0032,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,vascular,salix polaris,Leaf_Thickness_mm,0.23766666666666666,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,vascular,salix polaris,Leaf_Area_cm2,0.3841,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,vascular,salix polaris,SLA_cm2_g,120.03125,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,vascular,salix polaris,LDMC,0.3375527426160338,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,vascular,salix polaris,C_percent,46.93070782685834,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,vascular,salix polaris,N_percent,1.9765981249877318,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,vascular,salix polaris,CN_ratio,23.74317127673569,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,vascular,salix polaris,dN15_permil,-3.22216548919678,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,vascular,salix polaris,dC13_permil,-30.2578787994385,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,vascular,salix polaris,P_percent,0.31893204788240476,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,2,AFH8173,vascular,salix polaris,NP_ratio,6.197552544849724,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJE8905,vascular,carex rupestris,Plant_Height_cm,4,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJE8905,vascular,carex rupestris,Wet_Mass_g,0.0116,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJE8905,vascular,carex rupestris,Dry_Mass_g,0.0036666666666666666,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJE8905,vascular,carex rupestris,Leaf_Thickness_mm,0.162,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJE8905,vascular,carex rupestris,Leaf_Area_cm2,0.7246666666666667,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJE8905,vascular,carex rupestris,SLA_cm2_g,197.63636363636365,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-5,3,AJE8905,vascular,carex rupestris,LDMC,0.3160919540229885,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,vascular,dryas octopetala,Wet_Mass_g,0.008875,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,vascular,dryas octopetala,Dry_Mass_g,0.003625,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,vascular,dryas octopetala,Leaf_Thickness_mm,0.19133333333333333,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,vascular,dryas octopetala,Leaf_Area_cm2,0.32825,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,vascular,dryas octopetala,SLA_cm2_g,90.55172413793103,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,vascular,dryas octopetala,LDMC,0.4084507042253522,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,vascular,dryas octopetala,C_percent,48.01,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,vascular,dryas octopetala,N_percent,1.44,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,vascular,dryas octopetala,CN_ratio,33.34027777777778,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,vascular,dryas octopetala,dN15_permil,-6.44490146636963,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,vascular,dryas octopetala,dC13_permil,-30.3972608184814,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,vascular,dryas octopetala,P_percent,0.055447624928719096,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-10,3,AJF2101,vascular,dryas octopetala,NP_ratio,25.970454133088612,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,3,AJG6523,vascular,carex rupestris,Plant_Height_cm,2,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,3,AJG6523,vascular,carex rupestris,Wet_Mass_g,0.0046,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,3,AJG6523,vascular,carex rupestris,Dry_Mass_g,0.0014,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,3,AJG6523,vascular,carex rupestris,Leaf_Thickness_mm,0.16666666666666666,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,3,AJG6523,vascular,carex rupestris,Leaf_Area_cm2,0.3096,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,3,AJG6523,vascular,carex rupestris,SLA_cm2_g,221.14285714285714,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-1,3,AJG6523,vascular,carex rupestris,LDMC,0.30434782608695654,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,3,AJH1777,vascular,salix polaris,Plant_Height_cm,0.7,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,3,AJH1777,vascular,salix polaris,Wet_Mass_g,0.0124125,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,3,AJH1777,vascular,salix polaris,Dry_Mass_g,0.004875,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,3,AJH1777,vascular,salix polaris,Leaf_Thickness_mm,0.24133333333333332,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,3,AJH1777,vascular,salix polaris,Leaf_Area_cm2,0.484375,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,3,AJH1777,vascular,salix polaris,SLA_cm2_g,99.35897435897436,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,3,AJH1777,vascular,salix polaris,LDMC,0.39274924471299094,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,3,AJH1777,vascular,salix polaris,P_percent,0.20991381606089038,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,vascular,carex rupestris,Plant_Height_cm,3,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,vascular,carex rupestris,Leaf_Thickness_mm,0.18033333333333332,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,vascular,carex rupestris,LDMC,0.3829787234042553,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,vascular,carex rupestris,C_percent,36.11234705141634,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,vascular,carex rupestris,N_percent,2.70548720126193,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,vascular,carex rupestris,CN_ratio,13.347816627841496,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,vascular,carex rupestris,dN15_permil,-2.9736456489563,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,vascular,carex rupestris,dC13_permil,-31.748199005127,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,vascular,carex rupestris,P_percent,0.12364552363990641,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJI6590,vascular,carex rupestris,NP_ratio,21.88099594402735,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,vascular,dryas octopetala,Plant_Height_cm,3,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,vascular,dryas octopetala,Wet_Mass_g,0.020042857142857144,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,vascular,dryas octopetala,Dry_Mass_g,0.008285714285714287,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,vascular,dryas octopetala,Leaf_Thickness_mm,0.22466666666666665,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,vascular,dryas octopetala,Leaf_Area_cm2,0.658,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,vascular,dryas octopetala,SLA_cm2_g,79.41379310344827,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,vascular,dryas octopetala,LDMC,0.4133998574483251,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,vascular,dryas octopetala,C_percent,51.49840870124715,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,vascular,dryas octopetala,N_percent,1.1241652933346709,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,vascular,dryas octopetala,CN_ratio,45.81035280717901,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,vascular,dryas octopetala,dN15_permil,-8.10841217041016,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,vascular,dryas octopetala,dC13_permil,-30.9069934082031,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,vascular,dryas octopetala,P_percent,0.10061989998281318,NA,NA,NA
ITEX,2018,2018-07-19,DH,OTC,DH-3,3,AJJ5061,vascular,dryas octopetala,NP_ratio,11.172395257068322,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,vascular,equisetum scirpoides,Plant_Height_cm,1,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,vascular,equisetum scirpoides,Wet_Mass_g,0.0515,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,vascular,equisetum scirpoides,Dry_Mass_g,0.025,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,vascular,equisetum scirpoides,Leaf_Thickness_mm,0.2793333333333333,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,vascular,equisetum scirpoides,Leaf_Area_cm2,1.738,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,vascular,equisetum scirpoides,SLA_cm2_g,69.52,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,vascular,equisetum scirpoides,LDMC,0.48543689320388356,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,vascular,equisetum scirpoides,C_percent,33.015054881179346,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,vascular,equisetum scirpoides,N_percent,2.2566003783923505,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,vascular,equisetum scirpoides,CN_ratio,14.630439309196591,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,vascular,equisetum scirpoides,dN15_permil,3.4674343585968,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,vascular,equisetum scirpoides,dC13_permil,-26.5632513427734,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,vascular,equisetum scirpoides,P_percent,0.10667038852947579,NA,NA,NA
ITEX,2018,2018-07-19,DH,CTL,DH-2,1,AJK6304,vascular,equisetum scirpoides,NP_ratio,21.15489040118002,NA,NA,NA
